Fouch_upper-mantle_SKS_splitting-2004.dat
Station Latitude Longitude     phi      dt  10.0
ALE      82.4800  -62.3500      61    1.00  10.0
AVL      41.8800    0.7500     101    1.40  10.0
BCMR     82.4800  -62.3500      61    1.00  10.0
BINY     42.2000  -75.9900      73    1.06  10.0
BLA      37.2110  -80.4210      55    1.12  10.0
CBM      46.9300  -68.1200      39    1.15  10.0
CBKS     38.8140  -99.7374      58    0.95  10.0
CCM      38.0600  -91.2500      35    0.73  10.0
CEH      35.8900  -79.0900       0    0.00  10.0
CSMR     39.6900  -77.9000      50    0.98  10.0
DTMR     38.9600  -77.0600       0    0.00  10.0
DUG      40.1900 -112.8100     146    0.67  10.0
EYMN     47.9460  -91.4950      65    1.38  10.0
FVM      37.9800  -90.4300      41    0.83  10.0
HRV      42.5060  -71.5580      86    0.99  10.0
JFWS     42.9200  -90.2500      46    0.84  10.0
LBNH     44.2400  -71.9300      83    1.38  10.0
LSCT     41.6800  -73.2200      83    1.38  10.0
MCWV     39.6600  -79.8500      67    1.18  10.0
MIAR     34.5500  -93.5700      89    1.15  10.0
MYNC     35.0700  -84.1300      69    1.38  10.0
OXFB     34.5118  -89.4092      61    1.55  10.0
RSCP     35.5900  -85.5700      59    0.75  10.0
RSNY     44.5500  -74.5300      74    0.90  10.0
SCP      40.7900  -77.8700      64    0.83  10.0
SSPA     40.6401  -77.8700      70    1.15  10.0
TUC      32.3100 -110.7800       0    0.00  10.0
WFM      42.6110  -71.4910      96    1.10  10.0
WMOK     34.7379  -98.7810     109    0.77  10.0
YSNY     42.4758  -78.5375      77    1.06  10.0
DRLN     49.2500  -57.5000      29    0.85  10.0
GAC      45.7000  -75.4700      36    0.65  10.0
BER      60.4000    5.3000     105    1.10  10.0
KEV      69.8000   27.0000      70    1.10  10.0
KONO     59.6000    9.6000      20    0.80  10.0
NE02     56.5000    9.2000      60    1.20  10.0
NE05     52.1000    5.2000      70    0.50  10.0
NE15     50.9000    5.8000      70    0.50  10.0
BBO      54.7400   -3.2500      94    0.61  10.0
BHH      55.0900   -3.2200     -25    0.90  10.0
CME      50.1800   -5.1900      91    0.47  10.0
CWF      52.7400   -1.3100      73    0.78  10.0
DYA      50.4400   -3.9300      37    0.81  10.0
EDI      55.9200   -3.1900      64    0.75  10.0
ESK      55.3200   -3.2100      81    1.40  10.0
GAL      54.8700   -4.7100     -66    0.85  10.0
HPK      53.9600   -1.6200      81    0.62  10.0
HTL      50.9900   -4.4900      95    0.58  10.0
KPL      57.3400   -5.6500      83    0.65  10.0
LRW      60.1400   -1.1800       4    0.53  10.0
MCD      57.5800   -3.2500      45    0.94  10.0
MCH      52.0000   -3.0000      20    0.79  10.0
PGB      55.8100   -4.4800      94    1.03  10.0
SWN      51.5100   -1.8000     -66    0.49  10.0
TFO      51.1100    1.1400      70    0.67  10.0
WCB      53.3800   -4.5500     -26    0.60  10.0
SSB      54.2800    4.5400     140    1.00  10.0
MBO      14.3900  -16.9600      82    0.75  10.0
CAY       4.9500  -52.3200     119    0.75  10.0
BDF     -15.6600  -47.9000      53    1.50  10.0
TOL      39.8800   -4.0500      84    1.00  10.0
VIH      42.6300    0.7700     102    1.30  10.0
PON      42.4000    0.7600      99    1.50  10.0
AVL      41.8800    0.7500     101    1.40  10.0
GDH      69.3000  -53.5000     120    1.20  10.0
STU      48.8000    9.2000      50    0.50  10.0
GRF      49.5000   11.2000      90    0.70  10.0
KHC      49.1000   13.6000      10    1.10  10.0
MOX      50.7000   11.6000     100    0.70  10.0
BRG      50.9000   14.0000     100    1.20  10.0
KSP      50.8000   16.3000     120    0.90  10.0
CLL      51.3000   13.0000     100    1.00  10.0
BB05     30.3790   90.9110      40    1.00  10.0
SP01     30.8450   91.1350      50    0.60  10.0
ALB      42.3140    2.7210     101    1.80  10.0
AUS      43.1520   -0.9330     110    1.25  10.0
BRU      42.2830    2.1860      96    0.93  10.0
BSD      42.7950    2.1560      97    1.12  10.0
FNM      41.7620    2.4330     120    1.25  10.0
FRS      43.3650    2.4470      75    0.70  10.0
GRF      41.1520    1.8910      86    1.75  10.0
LAR      43.0230   -0.9380     116    1.39  10.0
LEI      42.6520   -1.2200     105    1.48  10.0
MTH      42.9390    2.5340     102    1.29  10.0
ORG      42.2270    1.3320     101    0.98  10.0
PYO      43.5380   -0.8800     112    1.45  10.0
RON      42.7970   -0.9640     102    1.45  10.0
RVH      43.3480   -0.8470     110    1.45  10.0
TRG      42.5020    1.9670      99    1.45  10.0
VIL      42.1360    1.8910      89    1.07  10.0
ALF9    -75.8990  162.5790     131    1.30  10.0
BRA9    -75.8260  160.5000     150    1.20  10.0
CHA9    -75.7490  158.3040     134    0.90  10.0
CPW9    -74.6280  165.4950     139    1.00  10.0
DEL9    -75.6970  157.0750     166    1.00  10.0
MDK9    -74.3950  163.9710     160    1.30  10.0
MEL9    -74.3150  165.0190     151    1.30  10.0
OAS9    -74.6920  164.1000     150    1.30  10.0
PPT      17.5690  149.4320       0    0.00  10.0
PTCN     25.0730  130.0950     -38    1.10  10.0
RKT      23.1180  134.9720     -53    1.10  10.0
TBI      23.3490  149.4610     -86    1.10  10.0
TPT      14.9840  147.6190     -66    1.30  10.0
BIC      44.4372 -114.2340      72    1.00  10.0
BWC      44.2556 -114.0200      66    1.20  10.0
CAR      41.4100 -110.4100     -70    2.10  10.0
CAV      41.7170 -110.6650      53    0.60  10.0
CH2      42.0058 -111.0570      47    1.10  10.0
CHC      41.9811 -111.0110      79    4.00  10.0
DSP      44.4949 -114.3330      78    0.90  10.0
FOS      41.7579 -110.7600     -47    0.30  10.0
HOG      41.5600 -110.5500     -56    1.40  10.0
LDC      41.9375 -110.8730      10    0.40  10.0
LPP      44.3736 -114.1930      75    1.30  10.0
MQR      44.5490 -114.4020      83    4.00  10.0
NU2      41.8319 -110.8740      50    1.00  10.0
NUG      41.8311 -110.8740      57    4.00  10.0
SDM      44.7620 -114.6660      78    0.70  10.0
SPC      44.3146 -114.1060      72    0.90  10.0
TWP      44.6031 -114.4720      77    0.90  10.0
S03     -15.6400 -111.6440      94    1.10  10.0
S04     -15.7400 -112.5070     100    0.97  10.0
S05     -15.8220 -112.8670      91    0.80  10.0
S08     -16.0070 -114.2000      98    1.65  10.0
S11     -16.5740 -113.1420     104    1.40  10.0
S14     -17.2720 -113.1120      96    1.35  10.0
S16     -17.2580 -113.0250      85    0.85  10.0
S22     -17.1950 -112.6360      91    0.88  10.0
S23     -17.1710 -112.5020      89    1.00  10.0
S26     -17.1220 -111.8850      75    1.00  10.0
S30     -16.7220 -109.4930     108    0.90  10.0
S39     -17.3410 -113.6580      89    1.50  10.0
S40     -17.3490 -113.7540      86    1.65  10.0
S42     -17.3920 -114.0580      91    1.55  10.0
S43     -17.4110 -114.2090     110    1.70  10.0
S45     -17.4910 -114.9570     106    2.20  10.0
S48     -17.7860 -116.9260      90    1.85  10.0
S50     -17.4670 -113.3160      93    1.25  10.0
AAK      42.6330   74.4940      86    0.90  10.0
AML      42.1311   73.6941     -50    0.40  10.0
EKS2     42.6615   73.7772      47    0.55  10.0
KBK      42.6564   74.9478      85    1.35  10.0
KZA      42.0778   75.2496      54    0.65  10.0
TKM2     42.9208   75.5966      59    0.80  10.0
TLG      43.2330   77.2250     -89    0.92  10.0
UCH      42.2275   74.5134      71    0.95  10.0
ULHL     42.2456   76.2417      21    1.30  10.0
USP      43.2669   74.4997      68    1.30  10.0
WUS      41.1990   79.2180      47    0.50  10.0
BNG       4.4350   18.5470      31    0.81  10.0
CAN     -35.3210  148.9990     113    1.09  10.0
CAY       4.9480  -52.3170     -56    0.89  10.0
DRV     -66.6650  140.0100      88    1.16  10.0
ECH      48.2160    7.1580      85    0.88  10.0
HYB      17.4170   78.5530      97    0.98  10.0
KOG       5.2070  -52.7320      90    0.83  10.0
MBO      14.3910  -16.9550      76    1.11  10.0
NOC     -22.2840  166.4320     -13    0.83  10.0
PAF     -49.3510   70.2130     -73    2.45  10.0
RER     -21.1590   55.7460     -51    0.91  10.0
SCZ      36.5980 -121.4030     103    1.33  10.0
SEY      62.9330  152.3730     -62    1.50  10.0
SSB      45.2790    4.5420     115    1.29  10.0
